Key;Tekst_Mikkel_Peter;Tekst_bem
ID1911010100;;
ID1911010200;;
ID1911010300;;
ID1911010400;;
ID1911010500;;
ID1911010600;;
ID1911010700;;
ID1911010800;;
ID1911010900;;
ID1911011000;;
ID1911011100;;
ID1911011200;;
ID1911011300;;
ID1911011400;;
ID1911011500;;
ID1911011600;;
ID1911011700;;
ID1911011800;;
ID1911011900;;
ID1911012000;;
ID1911012100;;
ID1911012200;;
ID1911012300;;
ID1911012400;;
ID1911012500;;
ID1911012600;;
ID1911012700;;
ID1911012800;;
ID1911012900;;
ID1911013000;;
ID1911013100;;
ID1911020910;Døde Russemæt;
ID1911021010;Brand i Agerup;
ID1911021510;Begravelse;
ID1911021610;Tjæret garn;
ID1911022610;slået pæle;
ID1911020100;;
ID1911020200;;
ID1911020300;;
ID1911020400;;
ID1911020500;;
ID1911020600;;
ID1911020700;;
ID1911020800;;
ID1911021100;;
ID1911021200;;
ID1911021300;;
ID1911021400;;
ID1911021700;;
ID1911021800;;
ID1911021900;;
ID1911022000;;
ID1911022100;;
ID1911022200;;
ID1911022300;;
ID1911022400;;
ID1911022500;;
ID1911022700;;
ID1911022800;;
ID1911030110;slået pæle;
ID1911030210;ladet byg;
ID1911030310;ladet havre;
ID1911030410;slået pæle;
ID1911030510;hængt garn;
ID1911030610;Brand Silleballe/tjæret garn;
ID1911030710;32 kasser sild;
ID1911030810;måtte vende omslået pæle;
ID1911030910;slået pæle;
ID1911031010;2 kasser sild/slået pæle;
ID1911031110;blæsevejr;
ID1911031210;slået pæle færdig;
ID1911031510;2½  kasser sild;
ID1911031710;Bisgård ladet havre/15 ks. Sild;
ID1911031910;8 ks. Sild, pløjet;
ID1911032010;2 ks. Sild;
ID1911032110;10 ks. Sild;
ID1911032210;12 ks. Sild;
ID1911032310;hængt garn/6 ks. Sild;
ID1911032410;1 ks. Sild;
ID1911032510;ladet hvede/storm nordøst;
ID1911032610;blæs vejr;
ID1911032710;marsvin/14 ks. Sild;
ID1911032810;13 ks. Sild;
ID1911032910;1 ks. sild;
ID1911033010;3 ks. Sild;
ID1911033110;6 ks. Sild;
ID1911030101;Svendsker med trølast;
ID1911030101;127 ks. Sild i marts;
ID1911031300;;
ID1911031400;;
ID1911031600;;
ID1911031800;;
ID1911040110;2 ks. Sild;
ID1911040210;været i Nordby/14 ks. Sild;
ID1911040310;snestorm nordrøst;
ID1911040410;storm nordøst;
ID1911040510;storm nordøst;
ID1911040610;18 ks. Sild;
ID1911040710;52 ks. Sild;
ID1911040810;24 ks. Sild;
ID1911040910;lappet garn ;(søndag)
ID1911041010;20 ks.sild;
ID1911041110;18 ks. sild;
ID1911041210;9 ks. Sild;
ID1911041310;skærtorsdag;
ID1911041410;langfredag/28 ks. Sild;
ID1911041610;Påskedag;
ID1911041710;30 ks.;
ID1911041810;36 ks;
ID1911041910;35 ks.;
ID1911042010;taget garn op;
ID1911042410;hænget garn/21 ks. Sild;
ID1911042510;25 ks. Sild;
ID1911042610;6 ks. Sild;
ID1911042710;30 ks. Sild;
ID1911042810;12 ks. Sild;
ID1911042910;5 ks. Sild/taget garn op;
ID1911043010;lappet garn;
ID1911040101;385 ks. Sild i april;
ID1911041500;;
ID1911042100;;
ID1911042200;;
ID1911042300;;
ID1911050110;18 ks. Sild/1 KH fisk;
ID1911050210;6 ks. Sild/25 fisk;
ID1911050310;6 ks. Sild/20 fisk;
ID1911050410;lappet garn;
ID1911050510;5 ks. Sild/hængt garn/3 ks. Hornfisk;
ID1911050610;20 hornfisk;
ID1911050710;tjæret jollen ;(søndag)
ID1911050910;18 ks. Sild/7 ks. Hornfisk;
ID1911051110;22 K sild  9 K Hf;
ID1911052010;2 k sild  5 kas H;
ID1911052110;6 k sild  6 kas H ;(søndag)
ID1911052210;9 k sild  260 H;
ID1911052310;1 ks. 2ks. HF;
ID1911052510;1 ks sild 1 k hf;
ID1911052610;1 ks sild 3 k hf;
ID1911052810;4 ks. Sild 2 k HF;
ID1911053010;dyrskue;
ID1911050800;;
ID1911051000;;
ID1911051200;;
ID1911051300;;
ID1911051400;;
ID1911051500;;
ID1911051600;;
ID1911051700;;
ID1911051800;;
ID1911051900;;
ID1911052400;;
ID1911052700;;
ID1911052900;;
ID1911053100;;
ID1911060610;23 ks. Sild 900 Hfisk;
ID1911060910;været i Kalundborg 850 hornfisk;
ID1911061010;hjem fra Kalundborg;
ID1911061110;været i Nordby;
ID1911061310;1 ks.sild 11 k makrel;
ID1911061610;60 hornfisk taget garn op;
ID1911061710;fået grisen;
ID1911062210;taget garn op, 2 k sild 2 k h fisk;
ID1911060100;;
ID1911060200;;
ID1911060300;;
ID1911060400;;
ID1911060500;;
ID1911060700;;
ID1911060800;;
ID1911061200;;
ID1911061400;;
ID1911061500;;
ID1911061800;;
ID1911061900;;
ID1911062000;;
ID1911062100;;
ID1911062300;;
ID1911062400;;
ID1911062500;;
ID1911062600;;
ID1911062700;;
ID1911062800;;
ID1911062900;;
ID1911063000;;
ID1911072310;været i Hou;
ID1911072510;slået pæle;
ID1911072610;slået pæle;
ID1911072710;slået pæle;
ID1911073010;været i Langemark;
ID1911073110;begyndt at høste;
ID1911070100;;
ID1911070200;;
ID1911070300;;
